channel_id,channel_name,priority_score,simulated_tier,risk_flag,risk_reasons,latest_video_published_at,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d
UCXm9ikYuCGkKumwdSR7Y4Hg,UCXm9ikYuCGkKumwdSR7Y4Hg,-35,cold,True,refresh_delay_vs_current:+68h,2026-03-02 21:45:35,0,0,0,0
UCUAy59_4jUN0WGB5gLY8LBg,UCUAy59_4jUN0WGB5gLY8LBg,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-26 18:01:09,0,0,0,0
UCBzcnSgDyxBtoKnzjilAEZA,UCBzcnSgDyxBtoKnzjilAEZA,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-26 08:30:00,0,0,0,0
UCXioCZpbtMxumNhAQsdJaZQ,UCXioCZpbtMxumNhAQsdJaZQ,-35,cold,True,refresh_delay_vs_current:+68h,2026-03-02 01:38:59,0,0,0,0
UC04hnBTovPbZ_ZkOOH7X8hQ,UC04hnBTovPbZ_ZkOOH7X8hQ,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-28 17:50:00,0,0,0,0
UChGZe32tU1ORJaX-Eyfwh9g,UChGZe32tU1ORJaX-Eyfwh9g,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-27 22:41:29,0,0,0,0
UCF5e17E0H5ml_ZM7zAkgPRw,UCF5e17E0H5ml_ZM7zAkgPRw,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-28 06:02:39,0,0,0,0
UCip-Kb51PVRTK6vRJ3aQTCA,UCip-Kb51PVRTK6vRJ3aQTCA,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-26 17:01:06,0,0,0,0
UCbpEKyohj7FokxVN3-QDhLg,UCbpEKyohj7FokxVN3-QDhLg,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-27 19:19:59,0,0,0,0
UCElYE3bfzjjmJ9xwjvro9Yw,UCElYE3bfzjjmJ9xwjvro9Yw,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-27 17:01:01,0,0,0,0
UCAZ_LA7f0sjuZ1Ni8L2uITw,UCAZ_LA7f0sjuZ1Ni8L2uITw,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-26 19:30:11,0,0,0,0
UClQVSqePVeg0aX2T8PMcTQQ,UClQVSqePVeg0aX2T8PMcTQQ,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-27 20:37:02,0,0,0,0
UCRPJ1IKrssdI5eJrXmPzTNA,UCRPJ1IKrssdI5eJrXmPzTNA,-35,cold,True,refresh_delay_vs_current:+68h,2026-02-28 13:12:54,0,0,0,0
